,Entry,Entry name,Status,Protein names,Gene,Organism,Length,Gene16,PP,gene
3797,G1JLS8,G1JLS8_PSEPK,unreviewed,Phosphatidylcholine synthase (EC 2.7.8.24),pcs,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),205,pcs,pcs,pcs
5066,P0A151,PARB_PSEPK,reviewed,Probable chromosome-partitioning protein ParB,parB PP_0001,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),290,parB,PP_0001,parB
4866,P0A149,Y002_PSEPK,reviewed,Uncharacterized protein PP_0002,PP_0002,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),263,parA,PP_0002,parA
5186,P0A124,RSMG_PSEPK,reviewed,Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase),rsmG PP_0003,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),216,rsmG,PP_0003,rsmG
5479,Q88RW8,MNMG_PSEPK,reviewed,tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A),mnmG gidA PP_0004,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),631,trmF,PP_0004,trmF
4874,P0A175,MNME_PSEPK,reviewed,tRNA modification GTPase MnmE (EC 3.6.-.-),mnmE thdF trmE PP_0005,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),456,trmE,PP_0005,trmE
5217,P0A140,YIDC_PSEPK,reviewed,Membrane protein insertase YidC (Foldase YidC) (Membrane integrase YidC) (Membrane protein YidC),yidC PP_0006,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),560,oxaA,PP_0006,yidC 
4727,P0A179,YIDD_PSEPK,reviewed,Putative membrane protein insertion efficiency factor,PP_0007,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),81,yidD,PP_0007,yidD
5170,P0A167,RNPA_PSEPK,reviewed,Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5),rnpA PP_0008,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),133,rnpA,PP_0008,rnpA
4876,P0A161,RL34_PSEPK,reviewed,50S ribosomal protein L34,rpmH PP_0009,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),44,rpmH,PP_0009,rpmH
5238,P0A116,DNAA_PSEPK,reviewed,Chromosomal replication initiator protein DnaA,dnaA PP_0010,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),506,dnaA,PP_0010,dnaA
5296,P0A120,DPO3B_PSEPK,reviewed,Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit) (DNA polymerase III subunit beta),dnaN PP_0011,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),367,dnaN,PP_0011,dnaN
4905,Q88RW7,RECF_PSEPK,reviewed,DNA replication and repair protein RecF,recF PP_0012,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),367,recF,PP_0012,recF
4053,Q88RW6,Q88RW6_PSEPK,unreviewed,DNA gyrase subunit B (EC 5.6.2.2),gyrB PP_0013,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),806,gyrB,PP_0013,gyrB
4790,Q88RW5,Q88RW5_PSEPK,unreviewed,Putative transposase,PP_0014,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440),652,PP_0014,PP_0014,PP_0014
